Period;Begin;Duration (Hours);Air temperature - average (°C);Humidity;Air temperature - average (°C);Solar radiation - horizontal (Wh/m²);Heating degree-days 16°C (°C-d)
187;2015-02-10T08:00:00;1;20.355708333333304;33.322361110999978;2.52;68.88;0.56166666666666665
188;2015-02-10T09:00:00;1;20.977423611166664;35.644118055833331;2.94;67.62;0.54416666666666669
189;2015-02-10T10:00:00;1;21.1;36.2;3.54;75.15;0.51916666666666667
190;2015-02-10T11:00:00;1;21.1;36.2;4.51;94.16;0.47875
191;2015-02-10T12:00:00;1;21.1;36.2;5.31;85.28;0.44541666666666668
192;2015-02-10T13:00:00;1;21.1;36.2;5.57;86.65;0.43458333333333332
193;2015-02-10T14:00:00;1;21.1;36.2;5.44;49.83;0.43999999999999995
194;2015-02-10T15:00:00;1;21.1;36.2;4.3;35.32;0.48749999999999993
195;2015-02-10T16:00:00;1;21.1;36.2;2;15.49;0.58333333333333326
196;2015-02-10T17:00:00;1;21.1;36.2;0.58;0;0.6425
197;2015-02-10T18:00:00;1;21.1;36.2;0.08;0;0.66333333333333333
198;2015-02-10T19:00:00;1;21.1;36.2;0.21;0;0.65791666666666659
199;2015-02-10T20:00:00;1;21.1;36.2;0.3;0;0.65416666666666656
200;2015-02-10T21:00:00;1;21.1;36.2;0.33;0;0.65291666666666659
201;2015-02-10T22:00:00;1;21.1;36.2;0.33;0;0.65291666666666659
202;2015-02-10T23:00:00;1;21.1;36.2;0.08;0;0.66333333333333333
203;2015-02-11T00:00:00;1;21.1;36.2;-0.21;0;0.67541666666666667
204;2015-02-11T01:00:00;1;21.1;36.2;-0.64;0;0.69333333333333336
205;2015-02-11T02:00:00;1;21.1;36.2;-0.92;0;0.70500000000000007
206;2015-02-11T03:00:00;1;21.1;36.2;-1.06;0;0.71083333333333321
207;2015-02-11T04:00:00;1;21.1;36.2;-1.22;0;0.71749999999999992
208;2015-02-11T05:00:00;1;21.1;36.2;-1.32;0;0.72166666666666668
209;2015-02-11T06:00:00;1;21.1;36.2;-1.13;0;0.71374999999999988
210;2015-02-11T07:00:00;1;21.1;36.2;0.12;21.44;0.66166666666666663
211;2015-02-11T08:00:00;1;21.1;36.2;2.05;69.07;0.58124999999999993
212;2015-02-11T09:00:00;1;21.1;36.2;3.37;67.59;0.52624999999999988
213;2015-02-11T10:00:00;1;21.1;36.2;4.37;111.63;0.48458333333333325
214;2015-02-11T11:00:00;1;21.1;36.2;5.48;113.83;0.4383333333333333
215;2015-02-11T12:00:00;1;21.1;36.2;6.37;140.61;0.40124999999999994
216;2015-02-11T13:00:00;1;21.1;36.2;6.74;109.34;0.38583333333333331
217;2015-02-11T14:00:00;1;21.236624999999993;35.214833333166659;6.55;83.35;0.39374999999999993
218;2015-02-11T15:00:00;1;21.879722222166652;31.074305555666637;5.11;47.88;0.45375
219;2015-02-11T16:00:00;1;21.902375000333318;30.258013888999962;2.02;23.58;0.5825
220;2015-02-11T17:00:00;1;21.88399999999999;29.976805555499979;0.75;0;0.63541666666666663
221;2015-02-11T18:00:00;1;21.637597221999975;29.001291666833303;0.18;0;0.65916666666666668
222;2015-02-11T19:00:00;1;21.099999999999994;29.844763888833302;-0.06;0;0.66916666666666658
223;2015-02-11T20:00:00;1;20.929875000166646;29.697833333499979;-0.13;0;0.67208333333333325
224;2015-02-11T21:00:00;1;20.760624999999987;29.555569444499984;0.01;0;0.66625
225;2015-02-11T22:00:00;1;20.605555555499972;28.540236111166642;0.13;0;0.66124999999999989
226;2015-02-11T23:00:00;1;20.598888888833326;27.660597222333308;0.12;0;0.66166666666666663
227;2015-02-12T00:00:00;1;20.603750000166659;26.707027777833314;-0.24;0;0.67666666666666653
228;2015-02-12T01:00:00;1;20.597777777833322;25.907833333166643;-0.61;0;0.69208333333333327
229;2015-02-12T02:00:00;1;20.5981944445;25.339513888999981;-0.98;0;0.7075
230;2015-02-12T03:00:00;1;20.622361110999993;24.645458333333316;-1.35;0;0.72291666666666665
231;2015-02-12T04:00:00;1;20.605833333333329;24.180833333333311;-1.58;0;0.73249999999999993
232;2015-02-12T05:00:00;1;20.523055555499976;23.75338888883331;-1.76;0;0.74
233;2015-02-12T06:00:00;1;20.541583333333332;22.779388888833324;-1.89;0;0.74541666666666662
234;2015-02-12T07:00:00;1;20.519027777666636;22.643513889166652;-1.49;18.83;0.7287499999999999
235;2015-02-12T08:00:00;1;20.675222222499993;22.341513889166645;-0.34;81.23;0.68083333333333329
236;2015-02-12T09:00:00;1;22.23985277783332;24.62106944449998;1.65;168.75;0.59791666666666665
237;2015-02-12T10:00:00;1;23.532999999999976;22.856388888999984;3.63;220.52;0.51541666666666663
238;2015-02-12T11:00:00;1;24.028819444166647;22.524847222499975;5.44;219.78;0.43999999999999995
239;2015-02-12T12:00:00;1;24.181611110999988;22.901972222333317;6.48;228.63;0.39666666666666661
240;2015-02-12T13:00:00;1;24.171988888833305;23.739066666833317;6.94;209.54;0.37749999999999995
241;2015-02-12T14:00:00;1;23.587402777999969;24.612222222166647;6.75;147.37;0.38541666666666663
242;2015-02-12T15:00:00;1;22.775194444333316;25.617791666833316;5.33;77.01;0.44458333333333333
243;2015-02-12T16:00:00;1;22.250874999999965;26.843347222166642;1.76;21.98;0.59333333333333327
244;2015-02-12T17:00:00;1;21.957180555333316;27.878847222333313;0.25;0;0.65625
245;2015-02-12T18:00:00;1;21.773527777833316;28.093249999999991;0.44;0;0.64833333333333332
246;2015-02-12T19:00:00;1;21.413972222166631;28.059583332999964;0.79;0;0.63375
247;2015-02-12T20:00:00;1;21.215749999999979;27.7150555553333;1.18;0;0.61749999999999994
248;2015-02-12T21:00:00;1;21.145472222166649;27.2357222223333;1.26;0;0.61416666666666664
249;2015-02-12T22:00:00;1;21.008888888833319;26.825277777666649;1.09;0;0.62125
250;2015-02-12T23:00:00;1;20.998777777666646;26.043069444499977;0.94;0;0.6275
251;2015-02-13T00:00:00;1;21.002499999999984;25.403819444499984;0.87;0;0.63041666666666663
252;2015-02-13T01:00:00;1;21.001666666666651;24.920694444499976;0.83;0;0.63208333333333333
253;2015-02-13T02:00:00;1;20.964249999833307;24.739416666499977;0.95;0;0.62708333333333333
254;2015-02-13T03:00:00;1;20.902763888999981;24.378055555333319;1;0;0.625
255;2015-02-13T04:00:00;1;20.884166666666648;24.395305555833311;0.78;0;0.63416666666666666
256;2015-02-13T05:00:00;1;20.806222222166653;25.019583333499973;0.6;0;0.64166666666666661
257;2015-02-13T06:00:00;1;20.797041666499986;25.302652777833316;0.56;0;0.64333333333333331
258;2015-02-13T07:00:00;1;20.874277777999986;25.53111111133331;0.94;25.88;0.6275
259;2015-02-13T08:00:00;1;21.071472222333309;25.443055555166659;1.9;139.8;0.58749999999999991
260;2015-02-13T09:00:00;1;22.056041666333314;25.415513888666652;3.75;261.8;0.51041666666666663
261;2015-02-13T10:00:00;1;23.1873888888333;24.629847222333311;5.84;360.5;0.42333333333333334
262;2015-02-13T11:00:00;1;23.753152777833321;25.331597222499983;7.78;379.14;0.34249999999999992
263;2015-02-13T12:00:00;1;23.870527777833313;25.135111110999976;9;376.95;0.29166666666666663
264;2015-02-13T13:00:00;1;23.796777777833306;25.663180555499967;9.41;277.46;0.27458333333333329
265;2015-02-13T14:00:00;1;23.357999999999986;27.173083333166641;9.23;207.38;0.2820833333333333
266;2015-02-13T15:00:00;1;22.762583333333311;28.900227777999984;8.31;109.35;0.32041666666666663
267;2015-02-13T16:00:00;1;21.907069444499978;30.938861110999966;6.86;28.3;0.38083333333333336
268;2015-02-13T17:00:00;1;21.398111110833312;32.222930555999966;5.98;0;0.4175
269;2015-02-13T18:00:00;1;21.277555555666648;32.498736111166636;5.77;0;0.42625
270;2015-02-13T19:00:00;1;20.9147777778333;32.090902777833314;5.68;0;0.43
271;2015-02-13T20:00:00;1;20.557472222166645;31.523388888999968;5.47;0;0.43875000000000003
272;2015-02-13T21:00:00;1;20.339027777833305;31.210777777833297;5.3;0;0.4458333333333333
273;2015-02-13T22:00:00;1;20.165722222166657;31.610277777833296;5.14;0;0.45249999999999996
274;2015-02-13T23:00:00;1;20.060277777499987;32.951666666499975;5.37;0;0.44291666666666663
275;2015-02-14T00:00:00;1;19.961388888666647;34.212666666833314;5.69;0;0.42958333333333326
276;2015-02-14T01:00:00;1;19.873055555666649;35.591861111166637;5.7;0;0.4291666666666667
277;2015-02-14T02:00:00;1;19.788777777666642;36.249222222166622;5.81;0;0.42458333333333337
278;2015-02-14T03:00:00;1;19.703111110999988;36.48450000033332;5.83;0;0.42374999999999996
279;2015-02-14T04:00:00;1;19.632083333333316;36.706666666666642;5.75;0;0.42708333333333331
280;2015-02-14T05:00:00;1;19.609861111166648;38.197930555499951;5.52;0;0.43666666666666665
281;2015-02-14T06:00:00;1;19.537083333333314;39.033736111166625;5.12;0;0.45333333333333325
282;2015-02-14T07:00:00;1;19.59930555533332;38.154097222333284;5;17.89;0.45833333333333331
283;2015-02-14T08:00:00;1;19.827180555499982;36.893333333333317;5.57;81.64;0.43458333333333332
284;2015-02-14T09:00:00;1;20.036624999999994;36.34416666683331;6.68;133.36;0.38833333333333331
285;2015-02-14T10:00:00;1;20.20770833349998;36.341152777666629;7.76;193.87;0.34333333333333332
286;2015-02-14T11:00:00;1;20.71449999999998;35.283763888833313;8.62;222.95;0.3075
287;2015-02-14T12:00:00;1;20.613597222333318;34.771944444333307;8.74;205.33;0.3025
288;2015-02-14T13:00:00;1;20.61487499999998;34.992738889166638;8.51;175.3;0.31208333333333332
289;2015-02-14T14:00:00;1;20.145555555333317;35.768952777666634;7.98;134.2;0.33416666666666661
290;2015-02-14T15:00:00;1;19.873430555499983;36.137638888999952;7.19;81.95;0.36708333333333326
291;2015-02-14T16:00:00;1;20.029916666666658;35.803375000166632;5.98;28.2;0.4175
292;2015-02-14T17:00:00;1;19.975861111166648;35.573499999833281;5.44;0;0.43999999999999995
293;2015-02-14T18:00:00;1;19.841527777833313;35.458888888999979;5.33;0;0.44458333333333333
294;2015-02-14T19:00:00;1;19.841111110999968;35.407555555499982;5.08;0;0.45499999999999996
295;2015-02-14T20:00:00;1;19.856111111166644;35.399527777666634;4.9;0;0.46249999999999997
296;2015-02-14T21:00:00;1;19.906277777833317;35.228111110999976;4.49;0;0.47958333333333331
297;2015-02-14T22:00:00;1;19.892444444499979;35.838861111166636;3.76;0;0.51
298;2015-02-14T23:00:00;1;20.00005555549998;35.730499999999957;3.31;0;0.52874999999999994
299;2015-02-15T00:00:00;1;19.954777777833314;35.519749999999981;3.14;0;0.53583333333333327
300;2015-02-15T01:00:00;1;19.96674999999998;34.968652777666641;2.44;0;0.565
301;2015-02-15T02:00:00;1;19.985972222333324;34.176444444333313;1.96;0;0.585
302;2015-02-15T03:00:00;1;20.079027778000004;33.462333333333319;1.92;0;0.58666666666666667
303;2015-02-15T04:00:00;1;20.102500000000003;32.555736111166631;1.64;0;0.59833333333333327
304;2015-02-15T05:00:00;1;20.104444444333332;32.270083333333289;1.75;0;0.59375
305;2015-02-15T06:00:00;1;20.021499999999985;32.172666666666657;2;0;0.58333333333333326
306;2015-02-15T07:00:00;1;20.031388888666655;31.541513888833304;2.52;31.27;0.56166666666666665
307;2015-02-15T08:00:00;1;20.198777777999968;30.625388888666638;3.56;162.3;0.51833333333333331
308;2015-02-15T09:00:00;1;21.20297222216665;29.223930555499987;5.02;292.27;0.4575
309;2015-02-15T10:00:00;1;21.891874999999992;28.984277777833306;6.35;361.01;0.40208333333333335
310;2015-02-15T11:00:00;1;22.302111111166639;28.885777777999966;7.48;420.5;0.355
311;2015-02-15T12:00:00;1;22.902708333333319;28.611708333333326;8.51;423.77;0.31208333333333332
312;2015-02-15T13:00:00;1;22.481680555666649;29.598822222333304;9.02;387.34;0.29083333333333333
313;2015-02-15T14:00:00;1;21.955152777666655;30.520972222333302;9.12;297.88;0.28666666666666668
314;2015-02-15T15:00:00;1;21.646958333499981;31.132652777999976;8.21;172.4;0.32458333333333328
315;2015-02-15T16:00:00;1;21.149583333333322;31.842847222499987;4.9;46.27;0.46249999999999997
316;2015-02-15T17:00:00;1;20.66924999999998;32.333138888833311;3;0;0.54166666666666663
317;2015-02-15T18:00:00;1;20.493583333333319;32.780583333333325;2.03;0;0.58208333333333329
318;2015-02-15T19:00:00;1;20.406805555833312;32.695361111166655;1.2;0;0.6166666666666667
319;2015-02-15T20:00:00;1;20.404666666666646;32.213333333333317;0.87;0;0.63041666666666663
320;2015-02-15T21:00:00;1;20.353055555666639;31.676166666666635;1.3;0;0.61249999999999993
321;2015-02-15T22:00:00;1;20.277999999999974;30.910624999833303;1.91;0;0.58708333333333329
322;2015-02-15T23:00:00;1;20.256624999999971;29.964902777833313;1.97;0;0.58458333333333323
323;2015-02-16T00:00:00;1;20.283208333333306;29.082138888666641;1.26;0;0.61416666666666664
324;2015-02-16T01:00:00;1;20.307944444499991;28.157402777833305;0.68;0;0.63833333333333331
325;2015-02-16T02:00:00;1;20.385277777999974;27.244277777666639;-0.2;0;0.67499999999999993
326;2015-02-16T03:00:00;1;20.397027777833316;26.608305555499975;-0.9;0;0.70416666666666661
327;2015-02-16T04:00:00;1;20.375555555499986;26.053083333333319;-0.86;0;0.7024999999999999
328;2015-02-16T05:00:00;1;20.419944444499979;25.46261111099999;-0.1;0;0.67083333333333339
329;2015-02-16T06:00:00;1;20.392749999999982;25.024208333333306;-0.24;0;0.67666666666666653
330;2015-02-16T07:00:00;1;20.389999999999986;24.589402777666656;-0.24;25.18;0.67666666666666653
331;2015-02-16T08:00:00;1;20.447055555666644;24.5416944443333;0.43;66.47;0.64874999999999994
332;2015-02-16T09:00:00;1;21.143472222166654;26.91601111083332;1.73;149.27;0.59458333333333324
333;2015-02-16T10:00:00;1;21.497902777666653;27.287819444166637;3.18;215.87;0.53416666666666668
334;2015-02-16T11:00:00;1;21.489305555499978;28.302611111166641;3.64;227;0.5149999999999999
335;2015-02-16T12:00:00;1;21.484027777833312;28.057322222333319;3.89;229.26;0.50458333333333327
336;2015-02-16T13:00:00;1;21.541597222166647;28.117902777833308;4.01;201.78;0.49958333333333332
337;2015-02-16T14:00:00;1;21.662819444333319;28.739888889166647;3.89;145.25;0.50458333333333327
338;2015-02-16T15:00:00;1;21.767094444499978;28.901480555833317;3.52;93.31;0.52
339;2015-02-16T16:00:00;1;21.774958333166651;29.579888888999974;3.05;25.7;0.5395833333333333
340;2015-02-16T17:00:00;1;21.932888888999987;30.093680555499976;2.88;0;0.54666666666666663
341;2015-02-16T18:00:00;1;21.5713333333333;30.256083333333333;2.82;0;0.54916666666666658
342;2015-02-16T19:00:00;1;20.75444444466665;30.425833333499956;2.76;0;0.55166666666666664
343;2015-02-16T20:00:00;1;20.478083333333323;30.346833333166646;2.76;0;0.55166666666666664
344;2015-02-16T21:00:00;1;20.374222222333316;30.171111110999984;2.73;0;0.55291666666666661
345;2015-02-16T22:00:00;1;20.329166666666655;30.198361111166648;2.61;0;0.55791666666666662
346;2015-02-16T23:00:00;1;20.202944444333305;30.515333333333302;2.27;0;0.57208333333333328
347;2015-02-17T00:00:00;1;20.176499999999987;30.395777777833302;1.82;0;0.59083333333333332
348;2015-02-17T01:00:00;1;20.014722222166643;30.278944444499988;1.41;0;0.60791666666666666
349;2015-02-17T02:00:00;1;19.953249999999986;30.3749999998333;1.19;0;0.61708333333333332
350;2015-02-17T03:00:00;1;20.080472222166655;30.471694444499978;1.19;0;0.61708333333333332
351;2015-02-17T04:00:00;1;20.397902777833306;30.386222222333295;1.27;0;0.61375
352;2015-02-17T05:00:00;1;20.415361111166643;30.406083333333306;1.43;0;0.60708333333333331
353;2015-02-17T06:00:00;1;20.455555555666649;30.4114722223333;1.55;0;0.6020833333333333
354;2015-02-17T07:00:00;1;20.660972222499986;30.24854166666665;2;13.26;0.58333333333333326
355;2015-02-17T08:00:00;1;20.636888888833322;30.547805555666628;2.95;59.27;0.54375
356;2015-02-17T09:00:00;1;21.051013888833307;31.280083333333319;4.01;108.4;0.49958333333333332
357;2015-02-17T10:00:00;1;21.288763888666658;31.380402777833297;5.12;167.77;0.45333333333333325
358;2015-02-17T11:00:00;1;21.432472222666654;32.476930555666648;6.01;231.88;0.41625
359;2015-02-17T12:00:00;1;21.668555555833322;32.846463888999985;6.7;252.2;0.3875
360;2015-02-17T13:00:00;1;21.710266666666644;33.428111110999971;7.22;299.48;0.36583333333333334
361;2015-02-17T14:00:00;1;21.984222222499984;34.380430555999965;7.44;248.82;0.35666666666666658
362;2015-02-17T15:00:00;1;22.184722222333317;34.218597222499973;6.82;166.79;0.38249999999999995
363;2015-02-17T16:00:00;1;22.188791666666635;34.39349999983331;4.49;53.73;0.47958333333333331
364;2015-02-17T17:00:00;1;22.157916666833312;34.394388888499975;2.53;0;0.56125
365;2015-02-17T18:00:00;1;21.882222222166654;34.230930555833318;0.87;0;0.63041666666666663
366;2015-02-17T19:00:00;1;21.234749999999984;34.233472222166647;-0.25;0;0.67708333333333326
367;2015-02-17T20:00:00;1;20.995819444499983;33.915944444333313;-1.05;0;0.7104166666666667
368;2015-02-17T21:00:00;1;20.906833333166649;33.028777777666647;-1.11;0;0.71291666666666664
369;2015-02-17T22:00:00;1;20.831111111166646;31.614333333666639;-0.39;0;0.68291666666666662
370;2015-02-17T23:00:00;1;20.87555555566664;30.202638888833306;0.12;0;0.66166666666666663
371;2015-02-18T00:00:00;1;20.881666666833315;28.861527777833317;0.01;0;0.66625
372;2015-02-18T01:00:00;1;20.815055555499978;27.682569444499975;-0.09;0;0.67041666666666666
373;2015-02-18T02:00:00;1;20.719833333499981;26.880583333333309;-0.48;0;0.68666666666666665
374;2015-02-18T03:00:00;1;20.791111111166654;26.362277777833324;-0.81;0;0.70041666666666658
375;2015-02-18T04:00:00;1;20.794527777666644;26.08916666649997;-0.98;0;0.7075
376;2015-02-18T05:00:00;1;20.771374999999985;26.295347222333312;-1.21;0;0.71708333333333329
377;2015-02-18T06:00:00;1;20.770499999999984;26.642833333333314;-1.4;0;0.72499999999999987
378;2015-02-18T07:00:00;1;20.751874999999977;27.074888888833303;-1.06;36.92;0.71083333333333321
379;2015-02-18T08:00:00;1;20.791416666666645;27.050513888833294;-0.01;139.28;0.66708333333333336
380;2015-02-18T09:00:00;0.33333333333333331;20.834249999999997;27.1842083335;1.94;78.526666666666671;0.19527777777777777
